               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095011,            0.036436,            0.068587,           0.0041728,            0.019732,           0.0019955,          0.00062731,            0.094474,            0.020427,            0.076786,            0.070129,            0.003319,            0.003319
                   1,            0.090916,             0.03705,            0.064565,             0.26487,            0.012607,           0.0031767,           0.0010621,             0.08878,            0.020113,            0.063442,            0.040063,           0.0065864,           0.0065864
                   2,            0.086929,            0.037674,            0.061854,              0.4309,            0.035273,           0.0067071,            0.001581,            0.083572,            0.023075,            0.059681,           0.0099316,           0.0097879,           0.0097879
                   3,            0.077969,            0.039939,            0.059521,            0.013912,             0.11071,           0.0071628,           0.0018512,            0.081224,            0.032588,            0.059858,            0.009703,            0.009703,            0.009703
                   4,            0.071919,            0.039384,             0.05702,             0.30763,            0.071415,            0.027685,           0.0082158,             0.07375,            0.020094,            0.054684,            0.009703,            0.009703,            0.009703
                   5,            0.067568,            0.038925,            0.054253,             0.32071,             0.12337,            0.050893,            0.017859,            0.069767,            0.022198,            0.051437,            0.009604,            0.009604,            0.009604
                   6,            0.064965,            0.037967,            0.052099,             0.39878,             0.17175,            0.098183,            0.036241,            0.063712,            0.018892,            0.048814,            0.009505,            0.009505,            0.009505
                   7,            0.062321,             0.03734,            0.049899,             0.36869,             0.18992,             0.10468,             0.03377,            0.062812,            0.019392,            0.047326,            0.009406,            0.009406,            0.009406
                   8,            0.059981,            0.036529,            0.047059,             0.46858,             0.21473,             0.17891,            0.074857,            0.059044,            0.017687,            0.041595,            0.009307,            0.009307,            0.009307
                   9,            0.058871,            0.035707,            0.045142,             0.49943,              0.2409,             0.20082,            0.090305,            0.057785,            0.017096,            0.040251,            0.009208,            0.009208,            0.009208
                  10,            0.057078,            0.035134,            0.043716,              0.5668,              0.2738,             0.24908,             0.11715,            0.056075,            0.017264,            0.038155,            0.009109,            0.009109,            0.009109
                  11,            0.056528,            0.034487,            0.042028,             0.57935,             0.29084,              0.2693,             0.12833,            0.056666,            0.016137,            0.036421,             0.00901,             0.00901,             0.00901
                  12,            0.055347,            0.034445,             0.04052,             0.59302,             0.30502,             0.28182,             0.13822,             0.05667,             0.01639,              0.0362,            0.008911,            0.008911,            0.008911
                  13,            0.054542,            0.033564,            0.039332,             0.62188,             0.28961,              0.2948,             0.13822,             0.05543,            0.016166,            0.035364,            0.008812,            0.008812,            0.008812
                  14,            0.054169,            0.033185,            0.037684,             0.67516,             0.31939,             0.34923,             0.17804,            0.053012,             0.01638,            0.031165,            0.008713,            0.008713,            0.008713
